Created at,User ID,User Name,Text,Description,Location,Followers Count,Friends Count,Statuses Count,Profile Image Url
Wed Feb 22 08:47:21 +0000 2023,1628315494947192832,Олег Газманов,RT @Good_news_Rus: На Сахалине было реконструировано 68 ж/д мостов — из них 33 были введены в эксплуатацию в прошлом году. К 2024 году план…,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Wed Feb 22 07:48:36 +0000 2023,1628300709828362241,Олег Газманов,RT @Good_news_Rus: 🚜Российские комбайны успешно экспортируются в Египет. В 2023 году египетские аграрии планируют приобрести очередную парт…,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Wed Feb 22 07:22:06 +0000 2023,1628294039987490817,Олег Газманов,#сургут Спасибо за эмоции!!! https://t.co/H43KxJjL0Y,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Sat Feb 18 04:29:58 +0000 2023,1626801172001484800,Олег Газманов,"RT @Good_news_Rus: 🎁Вот уже пятый год в России успешно функционирует интернет-площадка, на которой продаются изделия российских бабушек и д…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Sun Feb 12 20:31:16 +0000 2023,1624868761726513152,Олег Газманов,"RT @NamikBabayev: 🇧🇭 Катар бьёт рекорд благотворительности: полтора миллиарда долларов на нужды пострадавших в Турции и Сирии.

Власти Ката…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Sun Feb 12 20:14:03 +0000 2023,1624864431820746753,Олег Газманов,"RT @Alexandr_Tsoy: В турецкой провинции Хатай, где землетрясение нанесло большие разрушения, есть город Эрзин, в котором не рухнуло ни одно…","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Sun Feb 12 20:12:45 +0000 2023,1624864102664265728,Олег Газманов,RT @hudoznik2: Раз уж все участники Нормандского сговора признались что они не собирались выполнять Минск2 и все это было ширмой для Милита…,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Sat Feb 11 12:27:05 +0000 2023,1624384528906166272,Олег Газманов,RT @MohammadKianme1: Американский ветеран пожелал перед смертью встретиться с Путиным и храбрыми солдатами России и поблагодарить их за бор…,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Fri Feb 10 15:03:16 +0000 2023,1624061444789612546,Олег Газманов,RT @Good_news_Rus: ✈️Авиакомпания Red Wings открыла новый ангар технического обслуживания российских самолетов SSJ100 в аэропорту «Жуковски…,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Fri Feb 10 14:49:55 +0000 2023,1624058085261160451,Олег Газманов,RT @Good_news_Rus: 🏭Масштабное техперевооружение провели на промышленном заводе объединения «Теплит». Благодаря этому свердловское предприя…,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Fri Feb 10 11:23:47 +0000 2023,1624006210255986689,Олег Газманов,@5thMoriu Хаха это видео дебилы уже 100к раз перепостили. Видно же что это не Газманов. Методичку поменяй,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Fri Feb 10 11:18:39 +0000 2023,1624004918964101120,Олег Газманов,@Elena1980198 Цель достигнута,"Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
Fri Feb 10 11:18:11 +0000 2023,1624004799233499137,Олег Газманов,"@Kc7yoP5ZR54GEfm Спасибо! Мне этот «вой на болотах» направится! Чем его больше у них: тем лучше то, что я делаю! Кс… https://t.co/NkKK3nJFWs","Здесь ЭСКАДРОН моих твитов шальных. Экспортирую сальто(дорого) и #моиясныедни(даром) В шоу бизнесе главное-не кто выше ноту возьмёт, а кто дольше её протянет.",нынче здесь- завтра там,154167,189,25737,http://pbs.twimg.com/profile_images/1533520824380047360/RfXAqGOg_normal.jpg
